video_path,class_gloss,class_id,feature_path,video_names
wlasl/videos/69241.mp4,book,11,features_cache/69241.pt,69241
wlasl/videos/07069.mp4,book,11,features_cache/07069.pt,07069
wlasl/videos/07068.mp4,book,11,features_cache/07068.pt,07068
wlasl/videos/07070.mp4,book,11,features_cache/07070.pt,07070
wlasl/videos/07074.mp4,book,11,features_cache/07074.pt,07074
wlasl/videos/65539.mp4,drink,35,features_cache/65539.pt,65539
wlasl/videos/17710.mp4,drink,35,features_cache/17710.pt,17710
wlasl/videos/17733.mp4,drink,35,features_cache/17733.pt,17733
wlasl/videos/65540.mp4,drink,35,features_cache/65540.pt,65540
wlasl/videos/17711.mp4,drink,35,features_cache/17711.pt,17711
wlasl/videos/17712.mp4,drink,35,features_cache/17712.pt,17712
wlasl/videos/17709.mp4,drink,35,features_cache/17709.pt,17709
wlasl/videos/17720.mp4,drink,35,features_cache/17720.pt,17720
wlasl/videos/17721.mp4,drink,35,features_cache/17721.pt,17721
wlasl/videos/17722.mp4,drink,35,features_cache/17722.pt,17722
wlasl/videos/17723.mp4,drink,35,features_cache/17723.pt,17723
wlasl/videos/12328.mp4,computer,23,features_cache/12328.pt,12328
wlasl/videos/12311.mp4,computer,23,features_cache/12311.pt,12311
wlasl/videos/12338.mp4,computer,23,features_cache/12338.pt,12338
wlasl/videos/12313.mp4,computer,23,features_cache/12313.pt,12313
wlasl/videos/12314.mp4,computer,23,features_cache/12314.pt,12314
wlasl/videos/12316.mp4,computer,23,features_cache/12316.pt,12316
wlasl/videos/12317.mp4,computer,23,features_cache/12317.pt,12317
wlasl/videos/12318.mp4,computer,23,features_cache/12318.pt,12318
wlasl/videos/12319.mp4,computer,23,features_cache/12319.pt,12319
wlasl/videos/12327.mp4,computer,23,features_cache/12327.pt,12327
wlasl/videos/05728.mp4,before,6,features_cache/05728.pt,05728
wlasl/videos/05749.mp4,before,6,features_cache/05749.pt,05749
wlasl/videos/05729.mp4,before,6,features_cache/05729.pt,05729
wlasl/videos/05730.mp4,before,6,features_cache/05730.pt,05730
wlasl/videos/65167.mp4,before,6,features_cache/65167.pt,65167
wlasl/videos/05731.mp4,before,6,features_cache/05731.pt,05731
wlasl/videos/05732.mp4,before,6,features_cache/05732.pt,05732
wlasl/videos/05733.mp4,before,6,features_cache/05733.pt,05733
wlasl/videos/05734.mp4,before,6,features_cache/05734.pt,05734
wlasl/videos/05740.mp4,before,6,features_cache/05740.pt,05740
wlasl/videos/05742.mp4,before,6,features_cache/05742.pt,05742
wlasl/videos/05743.mp4,before,6,features_cache/05743.pt,05743
wlasl/videos/09848.mp4,chair,17,features_cache/09848.pt,09848
wlasl/videos/09869.mp4,chair,17,features_cache/09869.pt,09869
wlasl/videos/09849.mp4,chair,17,features_cache/09849.pt,09849
wlasl/videos/09850.mp4,chair,17,features_cache/09850.pt,09850
wlasl/videos/65328.mp4,chair,17,features_cache/65328.pt,65328
wlasl/videos/24955.mp4,go,45,features_cache/24955.pt,24955
wlasl/videos/24956.mp4,go,45,features_cache/24956.pt,24956
wlasl/videos/24941.mp4,go,45,features_cache/24941.pt,24941
wlasl/videos/24961.mp4,go,45,features_cache/24961.pt,24961
wlasl/videos/24962.mp4,go,45,features_cache/24962.pt,24962
wlasl/videos/65824.mp4,go,45,features_cache/65824.pt,65824
wlasl/videos/24973.mp4,go,45,features_cache/24973.pt,24973
wlasl/videos/24943.mp4,go,45,features_cache/24943.pt,24943
wlasl/videos/24947.mp4,go,45,features_cache/24947.pt,24947
wlasl/videos/24940.mp4,go,45,features_cache/24940.pt,24940
wlasl/videos/24954.mp4,go,45,features_cache/24954.pt,24954
wlasl/videos/11310.mp4,clothes,21,features_cache/11310.pt,11310
wlasl/videos/11330.mp4,clothes,21,features_cache/11330.pt,11330
wlasl/videos/11313.mp4,clothes,21,features_cache/11313.pt,11313
wlasl/videos/11309.mp4,clothes,21,features_cache/11309.pt,11309
wlasl/videos/69534.mp4,who,94,features_cache/69534.pt,69534
wlasl/videos/63242.mp4,who,94,features_cache/63242.pt,63242
wlasl/videos/63227.mp4,who,94,features_cache/63227.pt,63227
wlasl/videos/63228.mp4,who,94,features_cache/63228.pt,63228
wlasl/videos/63231.mp4,who,94,features_cache/63231.pt,63231
wlasl/videos/66778.mp4,who,94,features_cache/66778.pt,66778
wlasl/videos/63232.mp4,who,94,features_cache/63232.pt,63232
wlasl/videos/66779.mp4,who,94,features_cache/66779.pt,66779
wlasl/videos/63225.mp4,who,94,features_cache/63225.pt,63225
wlasl/videos/63236.mp4,who,94,features_cache/63236.pt,63236
wlasl/videos/08916.mp4,candy,16,features_cache/08916.pt,08916
wlasl/videos/08917.mp4,candy,16,features_cache/08917.pt,08917
wlasl/videos/08919.mp4,candy,16,features_cache/08919.pt,08919
wlasl/videos/08920.mp4,candy,16,features_cache/08920.pt,08920
wlasl/videos/08921.mp4,candy,16,features_cache/08921.pt,08921
wlasl/videos/65298.mp4,candy,16,features_cache/65298.pt,65298
wlasl/videos/08924.mp4,candy,16,features_cache/08924.pt,08924
wlasl/videos/65299.mp4,candy,16,features_cache/65299.pt,65299
wlasl/videos/13647.mp4,cousin,27,features_cache/13647.pt,13647
wlasl/videos/13648.mp4,cousin,27,features_cache/13648.pt,13648
wlasl/videos/13631.mp4,cousin,27,features_cache/13631.pt,13631
wlasl/videos/13632.mp4,cousin,27,features_cache/13632.pt,13632
wlasl/videos/13636.mp4,cousin,27,features_cache/13636.pt,13636
wlasl/videos/13630.mp4,cousin,27,features_cache/13630.pt,13630
wlasl/videos/13640.mp4,cousin,27,features_cache/13640.pt,13640
wlasl/videos/13642.mp4,cousin,27,features_cache/13642.pt,13642
wlasl/videos/13646.mp4,cousin,27,features_cache/13646.pt,13646
wlasl/videos/14882.mp4,deaf,31,features_cache/14882.pt,14882
wlasl/videos/14884.mp4,deaf,31,features_cache/14884.pt,14884
wlasl/videos/14885.mp4,deaf,31,features_cache/14885.pt,14885
wlasl/videos/14886.mp4,deaf,31,features_cache/14886.pt,14886
wlasl/videos/65445.mp4,deaf,31,features_cache/65445.pt,65445
wlasl/videos/14893.mp4,deaf,31,features_cache/14893.pt,14893
wlasl/videos/14894.mp4,deaf,31,features_cache/14894.pt,14894
wlasl/videos/21870.mp4,fine,39,features_cache/21870.pt,21870
wlasl/videos/21891.mp4,fine,39,features_cache/21891.pt,21891
wlasl/videos/21871.mp4,fine,39,features_cache/21871.pt,21871
wlasl/videos/21869.mp4,fine,39,features_cache/21869.pt,21869
wlasl/videos/21878.mp4,fine,39,features_cache/21878.pt,21878
wlasl/videos/21883.mp4,fine,39,features_cache/21883.pt,21883
wlasl/videos/27221.mp4,help,49,features_cache/27221.pt,27221
wlasl/videos/27206.mp4,help,49,features_cache/27206.pt,27206
wlasl/videos/27207.mp4,help,49,features_cache/27207.pt,27207
wlasl/videos/27208.mp4,help,49,features_cache/27208.pt,27208
wlasl/videos/65890.mp4,help,49,features_cache/65890.pt,65890
wlasl/videos/27214.mp4,help,49,features_cache/27214.pt,27214
wlasl/videos/65889.mp4,help,49,features_cache/65889.pt,65889
wlasl/videos/27215.mp4,help,49,features_cache/27215.pt,27215
wlasl/videos/27216.mp4,help,49,features_cache/27216.pt,27216
wlasl/videos/27217.mp4,help,49,features_cache/27217.pt,27217
wlasl/videos/38544.mp4,no,65,features_cache/38544.pt,38544
wlasl/videos/38527.mp4,no,65,features_cache/38527.pt,38527
wlasl/videos/38529.mp4,no,65,features_cache/38529.pt,38529
wlasl/videos/38530.mp4,no,65,features_cache/38530.pt,38530
wlasl/videos/38532.mp4,no,65,features_cache/38532.pt,38532
wlasl/videos/66183.mp4,no,65,features_cache/66183.pt,66183
wlasl/videos/38524.mp4,no,65,features_cache/38524.pt,38524
wlasl/videos/38534.mp4,no,65,features_cache/38534.pt,38534
wlasl/videos/57949.mp4,thin,87,features_cache/57949.pt,57949
wlasl/videos/57934.mp4,thin,87,features_cache/57934.pt,57934
wlasl/videos/57953.mp4,thin,87,features_cache/57953.pt,57953
wlasl/videos/57935.mp4,thin,87,features_cache/57935.pt,57935
wlasl/videos/57936.mp4,thin,87,features_cache/57936.pt,57936
wlasl/videos/57937.mp4,thin,87,features_cache/57937.pt,57937
wlasl/videos/66606.mp4,thin,87,features_cache/66606.pt,66606
wlasl/videos/57939.mp4,thin,87,features_cache/57939.pt,57939
wlasl/videos/57940.mp4,thin,87,features_cache/57940.pt,57940
wlasl/videos/57942.mp4,thin,87,features_cache/57942.pt,57942
wlasl/videos/57947.mp4,thin,87,features_cache/57947.pt,57947
wlasl/videos/62175.mp4,walk,90,features_cache/62175.pt,62175
wlasl/videos/62159.mp4,walk,90,features_cache/62159.pt,62159
wlasl/videos/62163.mp4,walk,90,features_cache/62163.pt,62163
wlasl/videos/62164.mp4,walk,90,features_cache/62164.pt,62164
wlasl/videos/66743.mp4,walk,90,features_cache/66743.pt,66743
wlasl/videos/66742.mp4,walk,90,features_cache/66742.pt,66742
wlasl/videos/62168.mp4,walk,90,features_cache/62168.pt,62168
wlasl/videos/62169.mp4,walk,90,features_cache/62169.pt,62169
wlasl/videos/62170.mp4,walk,90,features_cache/62170.pt,62170
wlasl/videos/64224.mp4,year,98,features_cache/64224.pt,64224
wlasl/videos/64212.mp4,year,98,features_cache/64212.pt,64212
wlasl/videos/66818.mp4,year,98,features_cache/66818.pt,66818
wlasl/videos/64213.mp4,year,98,features_cache/64213.pt,64213
wlasl/videos/66816.mp4,year,98,features_cache/66816.pt,66816
wlasl/videos/64219.mp4,year,98,features_cache/64219.pt,64219
wlasl/videos/64218.mp4,year,98,features_cache/64218.pt,64218
wlasl/videos/64284.mp4,yes,99,features_cache/64284.pt,64284
wlasl/videos/64291.mp4,yes,99,features_cache/64291.pt,64291
wlasl/videos/64292.mp4,yes,99,features_cache/64292.pt,64292
wlasl/videos/66820.mp4,yes,99,features_cache/66820.pt,66820
wlasl/videos/64280.mp4,yes,99,features_cache/64280.pt,64280
wlasl/videos/64300.mp4,yes,99,features_cache/64300.pt,64300
wlasl/videos/64281.mp4,yes,99,features_cache/64281.pt,64281
wlasl/videos/64288.mp4,yes,99,features_cache/64288.pt,64288
wlasl/videos/64283.mp4,yes,99,features_cache/64283.pt,64283
wlasl/videos/69206.mp4,all,2,features_cache/69206.pt,69206
wlasl/videos/02003.mp4,all,2,features_cache/02003.pt,02003
wlasl/videos/01987.mp4,all,2,features_cache/01987.pt,01987
wlasl/videos/01988.mp4,all,2,features_cache/01988.pt,01988
wlasl/videos/01991.mp4,all,2,features_cache/01991.pt,01991
wlasl/videos/01992.mp4,all,2,features_cache/01992.pt,01992
wlasl/videos/65043.mp4,all,2,features_cache/65043.pt,65043
wlasl/videos/06472.mp4,black,9,features_cache/06472.pt,06472
wlasl/videos/06473.mp4,black,9,features_cache/06473.pt,06473
wlasl/videos/06474.mp4,black,9,features_cache/06474.pt,06474
wlasl/videos/06477.mp4,black,9,features_cache/06477.pt,06477
wlasl/videos/06478.mp4,black,9,features_cache/06478.pt,06478
wlasl/videos/65200.mp4,black,9,features_cache/65200.pt,65200
wlasl/videos/06471.mp4,black,9,features_cache/06471.pt,06471
wlasl/videos/06486.mp4,black,9,features_cache/06486.pt,06486
wlasl/videos/69281.mp4,cool,25,features_cache/69281.pt,69281
wlasl/videos/65403.mp4,cool,25,features_cache/65403.pt,65403
wlasl/videos/13213.mp4,cool,25,features_cache/13213.pt,13213
wlasl/videos/13216.mp4,cool,25,features_cache/13216.pt,13216
wlasl/videos/13217.mp4,cool,25,features_cache/13217.pt,13217
wlasl/videos/13199.mp4,cool,25,features_cache/13199.pt,13199
wlasl/videos/13200.mp4,cool,25,features_cache/13200.pt,13200
wlasl/videos/13201.mp4,cool,25,features_cache/13201.pt,13201
